,dataset,model,mae,mape,smape,rmse,training_time,house_id
534,stretchedSociety_block_96_MAC001243,Prophet_holiday,0.1365191420766389,0.3336661223539802,0.1554097370790376,0.2299284545523613,0.5018038749694824,1243
535,stretchedSociety_block_96_MAC001243,Prophet_month,0.1364589271359437,0.3332338024646147,0.1553373297729302,0.2299617852034777,0.5100314617156982,1243
536,stretchedSociety_block_96_MAC001243,Prophet_hour,0.1366011504364691,0.3343529956091542,0.1554819230730429,0.2298757083600863,0.6367001533508301,1243
537,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num,0.136716839398172,0.3348212441926294,0.1558320622739886,0.2298074426841321,0.5687055587768555,1243
538,stretchedSociety_block_96_MAC001243,Prophet_precipType,0.1365651231372081,0.3340354991243989,0.1554570790968135,0.2298968148804083,0.7104067802429199,1243
539,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values,0.1365462076791694,0.333885306314523,0.1554367834439266,0.2299107499507971,0.5496749877929688,1243
1947,stretchedSociety_block_96_MAC001243,Prophet_holiday_month,0.1365728992498776,0.334176798937222,0.1554432900788524,0.2298693501714107,0.5137090682983398,1243
1948,stretchedSociety_block_96_MAC001243,Prophet_holiday_hour,0.1366793327461742,0.3349919099998558,0.1555571046588688,0.2298149621886976,0.6572585105895996,1243
1949,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_holiday,0.136847131402241,0.3359096820722456,0.1559437623339837,0.2296999957706687,0.8925888538360596,1243
1950,stretchedSociety_block_96_MAC001243,Prophet_holiday_precipType,0.1365691851987417,0.3340741604913446,0.1554587611248537,0.2298897946212833,0.591588020324707,1243
1951,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_holiday,0.1365206386038844,0.3336794473694203,0.1554105848045905,0.2299271621532506,0.4373490810394287,1243
1952,stretchedSociety_block_96_MAC001243,Prophet_hour_month,0.136462723201578,0.3332970308547237,0.1553282224136935,0.2299628036578282,0.6512026786804199,1243
1953,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_month,0.1367461925661202,0.3351255897779926,0.1558455498646127,0.229769297461383,0.8551363945007324,1243
1954,stretchedSociety_block_96_MAC001243,Prophet_month_precipType,0.1364980483671784,0.3335590824724299,0.1553731432707498,0.2299309826218444,0.7133715152740479,1243
1955,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_month,0.1364809341215244,0.3334169200353041,0.1553569994981255,0.2299441285580913,0.6471683979034424,1243
1956,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_hour,0.1367429973042186,0.3350725978121057,0.1558390429065544,0.2297906327202073,0.5593061447143555,1243
1957,stretchedSociety_block_96_MAC001243,Prophet_hour_precipType,0.1365613235301641,0.3340274055296048,0.1554430457579741,0.2299056573785919,0.5237734317779541,1243
1958,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_hour,0.1365884615675497,0.3342511038411139,0.1554672386213513,0.2298867119631305,0.5452487468719482,1243
1959,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_precipType,0.1367119895376096,0.3347831642254961,0.15582932691097,0.2298112368048749,0.4652230739593506,1243
1960,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num,0.1367161110591069,0.3348195934028333,0.1558317619980898,0.2298074341371719,0.5493404865264893,1243
1961,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_precipType,0.1365043011937208,0.3335344740679343,0.1554001794637223,0.2299439047964136,0.6578452587127686,1243
3922,stretchedSociety_block_96_MAC001243,Prophet_holiday_hour_month,0.1366258855615817,0.3346260191920922,0.155486700271851,0.2298369644638296,0.5558347702026367,1243
3923,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_holiday_month,0.1367706654004525,0.3353342308640983,0.1558643551736556,0.2297451158759808,0.6205973625183105,1243
3924,stretchedSociety_block_96_MAC001243,Prophet_holiday_month_precipType,0.1366264451825259,0.3346158933861384,0.1554933609068924,0.2298301842500242,0.5389645099639893,1243
3925,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_holiday_month,0.1365728992498776,0.334176798937222,0.1554432900788524,0.2298693501714107,0.4733209609985351,1243
3926,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_holiday_hour,0.13674412434125,0.3350698652575705,0.1558455147906259,0.2297882521849981,0.4962155818939209,1243
3927,stretchedSociety_block_96_MAC001243,Prophet_holiday_hour_precipType,0.1365830088357647,0.3342062126902146,0.1554630533131087,0.2298854923122425,0.5266287326812744,1243
3928,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_holiday_hour,0.1366793327461742,0.3349919099998558,0.1555571046588688,0.2298149621886976,0.4726557731628418,1243
3929,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_holiday_precipType,0.1367588804356958,0.3351718189310403,0.155870850124477,0.2297703449322992,0.5030405521392822,1243
3930,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_holiday,0.136847131402241,0.3359096820722456,0.1559437623339837,0.2296999957706687,0.6006391048431396,1243
3931,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_holiday_precipType,0.1365691851987417,0.3340741604913446,0.1554587611248537,0.2298897946212833,0.376021146774292,1243
3932,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_hour_month,0.1366005081366888,0.3339376188162837,0.1557060450787319,0.2298941853252644,0.466681957244873,1243
3933,stretchedSociety_block_96_MAC001243,Prophet_hour_month_precipType,0.1365147780326628,0.3337172969624523,0.1553784213428825,0.229925079424234,0.802060604095459,1243
3934,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_hour_month,0.136462723201578,0.3332970308547237,0.1553282224136935,0.2299628036578282,0.634544849395752,1243
3935,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_month_precipType,0.1366337147111876,0.3341958933121455,0.1557468002700738,0.2298590127772246,0.6730239391326904,1243
3936,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_month,0.1367461925661202,0.3351255897779926,0.1558455498646127,0.229769297461383,0.6807146072387695,1243
3937,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_month_precipType,0.1364980483671784,0.3335590824724299,0.1553731432707498,0.2299309826218444,0.7221953868865967,1243
3938,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_hour_precipType,0.1367468514620423,0.3351111019468071,0.1558396144247064,0.2297869208311522,0.5650720596313477,1243
3939,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_hour,0.1367429973042186,0.3350725978121057,0.1558390429065544,0.2297906327202073,0.6939313411712646,1243
3940,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_hour_precipType,0.1365613235301641,0.3340274055296048,0.1554430457579741,0.2299056573785919,0.6543641090393066,1243
3941,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_precipType,0.1367119895376096,0.3347831642254961,0.15582932691097,0.2298112368048749,0.6221659183502197,1243
5517,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_holiday_hour_month,0.1366506737684025,0.3343604278535168,0.155746236959002,0.2298480342626775,0.5290260314941406,1243
5518,stretchedSociety_block_96_MAC001243,Prophet_holiday_hour_month_precipType,0.1364303532458345,0.3330407210918756,0.1552921342681965,0.2299832917269809,0.4526078701019287,1243
5519,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_holiday_hour_month,0.1365676925564654,0.3341518917661761,0.1554301858325142,0.2298792673329045,0.5254530906677246,1243
5520,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_holiday_month_precipType,0.1367812498618107,0.3354425530703541,0.1558653722887918,0.2297340755222338,0.6034519672393799,1243
5521,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_holiday_month,0.1366329696255964,0.3341776552543287,0.1557510091287595,0.2298591996742637,0.5369913578033447,1243
5522,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_holiday_month_precipType,0.1366194948956147,0.334558594340767,0.1554872963820106,0.2298353128370946,0.6899576187133789,1243
5523,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_holiday_hour_precipType,0.1368769486907258,0.3361957327557376,0.1559497430152256,0.2296806020676374,0.7206251621246338,1243
5524,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_holiday_hour,0.1367419686649035,0.3350563205953544,0.1558437927217381,0.2297882375377194,0.5869219303131104,1243
5525,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_holiday_hour_precipType,0.1366213543886636,0.3345186795713806,0.1554994901579041,0.2298581457686176,0.6844995021820068,1243
5526,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_holiday_precipType,0.1367663792078988,0.3352370281924098,0.1558760188845362,0.2297641264303633,0.6674449443817139,1243
5527,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_hour_month_precipType,0.1366888808107825,0.3346832760432862,0.1557796382193434,0.2298190188194693,0.8173918724060059,1243
5528,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_hour_month,0.1366217857191287,0.3341233460121471,0.1557262681993658,0.2298729739027063,0.5802702903747559,1243
5529,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_hour_month_precipType,0.1365023065972626,0.3336168628410933,0.1553660425662139,0.2299341791236803,0.5537211894989014,1243
5530,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_month_precipType,0.1366341162588031,0.3341992596645601,0.1557470294542959,0.229858702207627,0.64080810546875,1243
5531,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_hour_precipType,0.1367468619035192,0.3351111942892838,0.1558396239657246,0.229786909856993,0.5630447864532471,1243
6246,stretchedSociety_block_96_MAC001243,Prophet_dayofweek_num_holiday_hour_month_precipType,0.1367180804159724,0.3349464032256752,0.1557968929910866,0.2297876224323275,0.5344104766845703,1243
6247,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_holiday_hour_month,0.1366506737684025,0.3343604278535168,0.155746236959002,0.2298480342626775,0.5665369033813477,1243
6248,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_holiday_hour_month_precipType,0.1364303532458345,0.3330407210918756,0.1552921342681965,0.2299832917269809,0.6059527397155762,1243
6249,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_holiday_month_precipType,0.1367812498618107,0.3354425530703541,0.1558653722887918,0.2297340755222338,0.7357747554779053,1243
6250,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_holiday_hour_precipType,0.1368769486907258,0.3361957327557376,0.1559497430152256,0.2296806020676374,0.5576250553131104,1243
6251,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_hour_month_precipType,0.1366888808107825,0.3346832760432862,0.1557796382193434,0.2298190188194693,0.6202363967895508,1243
6413,stretchedSociety_block_96_MAC001243,Prophet_bool_weather_missing_values_dayofweek_num_holiday_hour_month_precipType,0.1367113127812554,0.3348860067345632,0.1557927589668976,0.2297936224104707,0.6623194217681885,1243
